,movie,year,imdb,votes,metascore
136,Billy Elliot,(2000),7.7,116010,74
137,Hollow Man,(2000),5.7,115168,24
138,Scream 3,(2000),5.6,114807,56
139,Shanghai Noon,(2000),6.6,112337,77
140,The 6th Day,(2000),5.9,111007,49
141,What Lies Beneath,(2000),6.6,110798,51
142,Malcolm in the Middle,(2000–2006),8.0,109019,NaN
143,Pay It Forward,(2000),7.2,107494,40
144,Faa yeung nin wa,(2000),8.1,106583,85
145,The Whole Nine Yards,(2000),6.7,103185,47
146,Men of Honor,(2000),7.2,101233,56
147,Coyote Ugly,(2000),5.7,101222,27
148,The Family Man,(2000),6.8,97315,42
149,Frequency,(2000),7.4,94945,67
150,Gladiator,(2000),8.5,1220065,67
151,Memento,(2000),8.5,1036117,80
152,Snatch,(2000),8.3,722692,55
153,Requiem for a Dream,(2000),8.3,704190,68
154,X-Men,(2000),7.4,539311,64
155,Cast Away,(2000),7.8,475305,73
156,American Psycho,(2000),7.6,433905,64
157,Unbreakable,(2000),7.3,354962,62
158,Meet the Parents,(2000),7.0,293979,73
159,Mission: Impossible II,(2000),6.1,292234,59
160,"O Brother, Where Art Thou?",(2000),7.8,265774,69
161,Gone in Sixty Seconds,(2000),6.5,246779,35
162,Wo hu cang long,(2000),7.9,240720,93
163,The Patriot,(2000),7.2,238589,63
164,Almost Famous,(2000),7.9,235660,90
165,Scary Movie,(2000),6.2,215680,48
166,Pitch Black,(2000),7.1,214628,49
167,Final Destination,(2000),6.7,212260,36
168,"Me, Myself & Irene",(2000),6.6,210474,49
169,The Beach,(I) (2000),6.6,209258,43
170,Amores perros,(2000),8.1,207805,83
171,Traffic,(2000),7.6,186637,86
172,Remember the Titans,(2000),7.8,184970,48
173,How the Grinch Stole Christmas,(2000),6.1,184154,46
174,What Women Want,(2000),6.4,181251,47
175,Miss Congeniality,(2000),6.2,170757,43
176,Chocolat,(2000),7.3,168792,64
177,Chicken Run,(2000),7.1,164698,88
178,Charlie's Angels,(2000),5.5,164152,52
179,The Emperor's New Groove,(2000),7.4,162247,70
180,Batoru rowaiaru,(2000),7.7,159717,81
181,Erin Brockovich,(2000),7.3,159491,73
182,High Fidelity,(2000),7.5,158886,79
183,Road Trip,(2000),6.5,148930,55
184,The Perfect Storm,(2000),6.4,147479,59
185,"Dude, Where's My Car?",(2000),5.5,128922,30
186,Billy Elliot,(2000),7.7,116010,74
187,Hollow Man,(2000),5.7,115168,24
188,Scream 3,(2000),5.6,114807,56
189,Shanghai Noon,(2000),6.6,112337,77
190,The 6th Day,(2000),5.9,111007,49
191,What Lies Beneath,(2000),6.6,110798,51
192,Malcolm in the Middle,(2000–2006),8.0,109019,NaN
193,Pay It Forward,(2000),7.2,107494,40
194,Faa yeung nin wa,(2000),8.1,106583,85
195,The Whole Nine Yards,(2000),6.7,103185,47
196,Men of Honor,(2000),7.2,101233,56
197,Coyote Ugly,(2000),5.7,101222,27
198,The Family Man,(2000),6.8,97315,42
199,Frequency,(2000),7.4,94945,67
200,The Lord of the Rings: The Fellowship of the Ring,(2001),8.8,1519500,92
201,A Beautiful Mind,(2001),8.2,775095,72
202,"Monsters, Inc.",(2001),8.1,744603,78
203,Donnie Darko,(2001),8.1,700798,71
204,Amélie,(2001),8.3,655383,69
205,Harry Potter and the Sorcerer's Stone,(2001),7.6,573847,64
206,Shrek,(2001),7.9,565753,84
207,Sen to Chihiro no kamikakushi,(2001),8.6,562948,96
208,Ocean's Eleven,(2001),7.8,476052,74
209,Training Day,(2001),7.7,358373,69
210,Black Hawk Down,(2001),7.7,341093,74
211,Band of Brothers,(2001),9.5,327160,NaN
212,The Fast and the Furious,(2001),6.8,321945,58
213,The Others,(2001),7.6,314819,74
214,Pearl Harbor,(2001),6.1,294042,44
215,Mulholland Dr.,(2001),8.0,292227,83
216,The Mummy Returns,(2001),6.4,285235,48
217,Jurassic Park III,(2001),5.9,275527,42
218,Artificial Intelligence: AI,(2001),7.1,275499,65
219,Moulin Rouge!,(2001),7.6,252628,66
220,The Royal Tenenbaums,(2001),7.6,246853,76
221,Hannibal,(2001),6.8,237804,57
222,Vanilla Sky,(2001),6.9,235051,45
223,Zoolander,(2001),6.6,232202,61
224,American Pie 2,(2001),6.4,226322,43
225,Enemy at the Gates,(2001),7.6,225844,53
226,Blow,(2001),7.6,224688,52
227,Scrubs,(2001–2010),8.4,224622,NaN
228,Bridget Jones's Diary,(2001),6.7,207745,66
229,Planet of the Apes,(2001),5.7,202063,50
230,Rush Hour 2,(2001),6.6,186372,48
231,Lara Croft: Tomb Raider,(2001),5.8,186353,33
232,Swordfish,(2001),6.5,169402,32
233,K-PAX,(2001),7.4,167582,49
234,Legally Blonde,(2001),6.3,166671,59
235,24,(2001–2010),8.4,163614,NaN
236,A Knight's Tale,(2001),6.9,158168,56
237,Jay and Silent Bob Strike Back,(2001),6.9,141566,51
238,From Hell,(2001),6.8,139807,54
239,Scary Movie 2,(2001),5.3,139095,29
240,I Am Sam,(2001),7.6,136280,28
241,Spy Game,(2001),7.1,136107,63
242,Shallow Hal,(2001),5.9,121232,48
243,The Princess Diaries,(2001),6.3,117014,52
244,The Score,(2001),6.8,113406,71
245,Evolution,(2001),6.1,113327,40
246,Six Feet Under,(2001–2005),8.7,111305,NaN
247,Smallville,(2001–2011),7.5,109372,NaN
248,Y tu mamá también,(2001),7.7,107686,88
249,Ghost World,(2001),7.4,107201,88
250,The Lord of the Rings: The Fellowship of the Ring,(2001),8.8,1519500,92
251,A Beautiful Mind,(2001),8.2,775095,72
252,"Monsters, Inc.",(2001),8.1,744603,78
253,Donnie Darko,(2001),8.1,700798,71
254,Amélie,(2001),8.3,655383,69
255,Harry Potter and the Sorcerer's Stone,(2001),7.6,573847,64
256,Shrek,(2001),7.9,565753,84
257,Sen to Chihiro no kamikakushi,(2001),8.6,562948,96
258,Ocean's Eleven,(2001),7.8,476052,74
259,Training Day,(2001),7.7,358373,69
260,Black Hawk Down,(2001),7.7,341093,74
261,Band of Brothers,(2001),9.5,327160,NaN
262,The Fast and the Furious,(2001),6.8,321945,58
263,The Others,(2001),7.6,314819,74
264,Pearl Harbor,(2001),6.1,294042,44
265,Mulholland Dr.,(2001),8.0,292227,83
266,The Mummy Returns,(2001),6.4,285235,48
267,Jurassic Park III,(2001),5.9,275527,42
268,Artificial Intelligence: AI,(2001),7.1,275499,65
269,Moulin Rouge!,(2001),7.6,252628,66
270,The Royal Tenenbaums,(2001),7.6,246853,76
271,Hannibal,(2001),6.8,237804,57
272,Vanilla Sky,(2001),6.9,235051,45
273,Zoolander,(2001),6.6,232202,61
274,American Pie 2,(2001),6.4,226322,43
275,Enemy at the Gates,(2001),7.6,225844,53
276,Blow,(2001),7.6,224688,52
277,Scrubs,(2001–2010),8.4,224622,NaN
278,Bridget Jones's Diary,(2001),6.7,207745,66
279,Planet of the Apes,(2001),5.7,202063,50
280,Rush Hour 2,(2001),6.6,186372,48
281,Lara Croft: Tomb Raider,(2001),5.8,186353,33
282,Swordfish,(2001),6.5,169402,32
283,K-PAX,(2001),7.4,167582,49
284,Legally Blonde,(2001),6.3,166671,59
285,24,(2001–2010),8.4,163614,NaN
286,A Knight's Tale,(2001),6.9,158168,56
287,Jay and Silent Bob Strike Back,(2001),6.9,141566,51
288,From Hell,(2001),6.8,139807,54
289,Scary Movie 2,(2001),5.3,139095,29
290,I Am Sam,(2001),7.6,136280,28
291,Spy Game,(2001),7.1,136107,63
292,Shallow Hal,(2001),5.9,121232,48
293,The Princess Diaries,(2001),6.3,117014,52
294,The Score,(2001),6.8,113406,71
295,Evolution,(2001),6.1,113327,40
296,Six Feet Under,(2001–2005),8.7,111305,NaN
297,Smallville,(2001–2011),7.5,109372,NaN
298,Y tu mamá también,(2001),7.7,107686,88
299,Ghost World,(2001),7.4,107201,88
300,The Lord of the Rings: The Fellowship of the Ring,(2001),8.8,1519500,92
301,A Beautiful Mind,(2001),8.2,775103,72
302,"Monsters, Inc.",(2001),8.1,744603,78
303,Donnie Darko,(2001),8.1,700798,71
304,Amélie,(2001),8.3,655383,69
305,Harry Potter and the Sorcerer's Stone,(2001),7.6,573847,64
306,Shrek,(2001),7.9,565753,84
307,Sen to Chihiro no kamikakushi,(2001),8.6,562948,96
308,Ocean's Eleven,(2001),7.8,476052,74
309,Training Day,(2001),7.7,358373,69
310,Black Hawk Down,(2001),7.7,341093,74
311,Band of Brothers,(2001),9.5,327160,NaN
312,The Fast and the Furious,(2001),6.8,321945,58
313,The Others,(2001),7.6,314819,74
314,Pearl Harbor,(2001),6.1,294042,44
315,Mulholland Dr.,(2001),8.0,292227,83
316,The Mummy Returns,(2001),6.4,285235,48
317,Jurassic Park III,(2001),5.9,275527,42
318,Artificial Intelligence: AI,(2001),7.1,275499,65
319,Moulin Rouge!,(2001),7.6,252628,66
320,The Royal Tenenbaums,(2001),7.6,246853,76
321,Hannibal,(2001),6.8,237804,57
322,Vanilla Sky,(2001),6.9,235051,45
323,Zoolander,(2001),6.6,232202,61
324,American Pie 2,(2001),6.4,226322,43
325,Enemy at the Gates,(2001),7.6,225844,53
326,Blow,(2001),7.6,224688,52
327,Scrubs,(2001–2010),8.4,224622,NaN
328,Bridget Jones's Diary,(2001),6.7,207745,66
329,Planet of the Apes,(2001),5.7,202063,50
330,Rush Hour 2,(2001),6.6,186372,48
331,Lara Croft: Tomb Raider,(2001),5.8,186353,33
