,movie,year,imdb,votes,metascore
589,Mr. Deeds,(2002),5.8,127680,24
590,The Scorpion King,(2002),5.5,123461,45
591,We Were Soldiers,(2002),7.2,121709,65
592,The Count of Monte Cristo,(2002),7.8,120839,61
593,Reign of Fire,(2002),6.2,120117,39
594,About Schmidt,(2002),7.2,117579,85
595,The Hours,(2002),7.6,117058,80
596,John Q,(2002),7.1,115753,30
597,My Big Fat Greek Wedding,(2002),6.6,113973,62
598,The Time Machine,(2002),5.9,113330,42
599,Mou gaan dou,(2002),8.1,111173,75
600,The Lord of the Rings: The Return of the King,(2003),8.9,1503781,94
601,Pirates of the Caribbean: The Curse of the Black Pearl,(2003),8.0,968245,63
602,Kill Bill: Vol. 1,(2003),8.1,910934,69
603,Finding Nemo,(2003),8.1,872887,90
604,X2,(2003),7.4,483628,68
605,The Matrix Reloaded,(2003),7.2,480999,62
606,Oldeuboi,(2003),8.4,462215,74
607,The Matrix Revolutions,(2003),6.7,417571,47
608,Big Fish,(2003),8.0,391058,58
609,Mystic River,(2003),8.0,390028,84
610,Love Actually,(2003),7.6,387268,55
611,Lost in Translation,(2003),7.8,375947,89
612,The Last Samurai,(2003),7.7,371740,55
613,Terminator 3: Rise of the Machines,(2003),6.3,351335,66
614,Bruce Almighty,(2003),6.7,347594,46
615,The Italian Job,(2003),7.0,323485,68
616,Arrested Development,(2003– ),8.8,257574,NaN
617,The School of Rock,(2003),7.1,246237,82
618,Hulk,(2003),5.6,240461,54
619,Underworld,(2003),7.0,240310,42
620,2 Fast 2 Furious,(2003),5.9,232502,38
621,Two and a Half Men,(2003–2015),7.1,227401,NaN
622,21 Grams,(2003),7.7,213372,70
623,Identity,(2003),7.3,210290,64
624,Bad Boys II,(2003),6.6,207360,38
625,Old School,(2003),7.1,204447,54
626,Daredevil,(2003),5.3,198110,42
627,Anger Management,(2003),6.3,192381,52
628,How to Lose a Guy in 10 Days,(2003),6.4,192020,45
629,Elf,(2003),7.0,192006,64
630,Master and Commander: The Far Side of the World,(2003),7.4,189970,81
631,American Wedding,(2003),6.3,183580,43
632,The League of Extraordinary Gentlemen,(2003),5.8,157997,30
633,Once Upon a Time in Mexico,(2003),6.4,145667,56
634,Final Destination 2,(2003),6.2,141045,38
635,Johnny English,(2003),6.2,137811,51
636,Cold Mountain,(2003),7.2,132596,73
637,S.W.A.T.,(2003),6.0,131807,45
638,Good Bye Lenin!,(2003),7.7,129490,68
639,Scary Movie 3,(2003),5.5,128553,49
640,Bad Santa,(2003),7.1,127440,70
641,Dogville,(2003),8.0,126995,60
642,Monster,(2003),7.3,125100,74
643,The Recruit,(2003),6.6,124418,56
644,The Texas Chainsaw Massacre,(2003),6.2,123379,38
645,Lara Croft Tomb Raider: The Cradle of Life,(2003),5.5,122459,43
646,Matchstick Men,(2003),7.3,118278,61
647,Freaky Friday,(2003),6.2,115766,70
648,Charlie's Angels: Full Throttle,(2003),4.9,113323,48
649,NCIS: Naval Criminal Investigative Service,(2003– ),7.8,108334,NaN
650,The Lord of the Rings: The Return of the King,(2003),8.9,1503781,94
651,Pirates of the Caribbean: The Curse of the Black Pearl,(2003),8.0,968245,63
652,Kill Bill: Vol. 1,(2003),8.1,910934,69
653,Finding Nemo,(2003),8.1,872887,90
654,X2,(2003),7.4,483628,68
655,The Matrix Reloaded,(2003),7.2,480999,62
656,Oldeuboi,(2003),8.4,462215,74
657,The Matrix Revolutions,(2003),6.7,417573,47
658,Big Fish,(2003),8.0,391058,58
659,Mystic River,(2003),8.0,390028,84
660,Love Actually,(2003),7.6,387268,55
661,Lost in Translation,(2003),7.8,375947,89
662,The Last Samurai,(2003),7.7,371740,55
663,Terminator 3: Rise of the Machines,(2003),6.3,351335,66
664,Bruce Almighty,(2003),6.7,347594,46
665,The Italian Job,(2003),7.0,323485,68
666,Arrested Development,(2003– ),8.8,257574,NaN
667,The School of Rock,(2003),7.1,246237,82
668,Hulk,(2003),5.6,240461,54
669,Underworld,(2003),7.0,240310,42
670,2 Fast 2 Furious,(2003),5.9,232502,38
671,Two and a Half Men,(2003–2015),7.1,227401,NaN
672,21 Grams,(2003),7.7,213372,70
673,Identity,(2003),7.3,210290,64
674,Bad Boys II,(2003),6.6,207360,38
675,Old School,(2003),7.1,204447,54
676,Daredevil,(2003),5.3,198110,42
677,Anger Management,(2003),6.3,192381,52
678,How to Lose a Guy in 10 Days,(2003),6.4,192020,45
679,Elf,(2003),7.0,192006,64
680,Master and Commander: The Far Side of the World,(2003),7.4,189970,81
681,American Wedding,(2003),6.3,183580,43
682,The League of Extraordinary Gentlemen,(2003),5.8,157997,30
683,Once Upon a Time in Mexico,(2003),6.4,145667,56
684,Final Destination 2,(2003),6.2,141045,38
685,Johnny English,(2003),6.2,137811,51
686,Cold Mountain,(2003),7.2,132596,73
687,S.W.A.T.,(2003),6.0,131807,45
688,Good Bye Lenin!,(2003),7.7,129490,68
689,Scary Movie 3,(2003),5.5,128553,49
690,Bad Santa,(2003),7.1,127440,70
691,Dogville,(2003),8.0,126995,60
692,Monster,(2003),7.3,125101,74
693,The Recruit,(2003),6.6,124418,56
694,The Texas Chainsaw Massacre,(2003),6.2,123379,38
695,Lara Croft Tomb Raider: The Cradle of Life,(2003),5.5,122459,43
696,Matchstick Men,(2003),7.3,118278,61
697,Freaky Friday,(2003),6.2,115766,70
698,Charlie's Angels: Full Throttle,(2003),4.9,113323,48
699,NCIS: Naval Criminal Investigative Service,(2003– ),7.8,108334,NaN
700,The Lord of the Rings: The Return of the King,(2003),8.9,1503781,94
701,Pirates of the Caribbean: The Curse of the Black Pearl,(2003),8.0,968245,63
702,Kill Bill: Vol. 1,(2003),8.1,910934,69
703,Finding Nemo,(2003),8.1,872887,90
704,X2,(2003),7.4,483628,68
705,The Matrix Reloaded,(2003),7.2,480999,62
706,Oldeuboi,(2003),8.4,462215,74
707,The Matrix Revolutions,(2003),6.7,417573,47
708,Big Fish,(2003),8.0,391058,58
709,Mystic River,(2003),8.0,390028,84
710,Love Actually,(2003),7.6,387268,55
711,Lost in Translation,(2003),7.8,375947,89
712,The Last Samurai,(2003),7.7,371740,55
713,Terminator 3: Rise of the Machines,(2003),6.3,351335,66
714,Bruce Almighty,(2003),6.7,347594,46
715,The Italian Job,(2003),7.0,323485,68
716,Arrested Development,(2003– ),8.8,257574,NaN
717,The School of Rock,(2003),7.1,246237,82
718,Hulk,(2003),5.6,240461,54
719,Underworld,(2003),7.0,240311,42
720,2 Fast 2 Furious,(2003),5.9,232502,38
721,Two and a Half Men,(2003–2015),7.1,227401,NaN
722,21 Grams,(2003),7.7,213372,70
723,Identity,(2003),7.3,210290,64
724,Bad Boys II,(2003),6.6,207360,38
725,Old School,(2003),7.1,204447,54
726,Daredevil,(2003),5.3,198110,42
727,Anger Management,(2003),6.3,192381,52
728,How to Lose a Guy in 10 Days,(2003),6.4,192020,45
729,Elf,(2003),7.0,192006,64
730,Master and Commander: The Far Side of the World,(2003),7.4,189970,81
731,American Wedding,(2003),6.3,183580,43
732,The League of Extraordinary Gentlemen,(2003),5.8,157997,30
733,Once Upon a Time in Mexico,(2003),6.4,145667,56
734,Final Destination 2,(2003),6.2,141045,38
735,Johnny English,(2003),6.2,137811,51
736,Cold Mountain,(2003),7.2,132596,73
737,S.W.A.T.,(2003),6.0,131807,45
738,Good Bye Lenin!,(2003),7.7,129490,68
739,Scary Movie 3,(2003),5.5,128553,49
740,Bad Santa,(2003),7.1,127440,70
741,Dogville,(2003),8.0,126996,60
742,Monster,(2003),7.3,125101,74
743,The Recruit,(2003),6.6,124418,56
744,The Texas Chainsaw Massacre,(2003),6.2,123379,38
745,Lara Croft Tomb Raider: The Cradle of Life,(2003),5.5,122459,43
746,Matchstick Men,(2003),7.3,118278,61
747,Freaky Friday,(2003),6.2,115766,70
748,Charlie's Angels: Full Throttle,(2003),4.9,113323,48
749,NCIS: Naval Criminal Investigative Service,(2003– ),7.8,108337,NaN
750,The Lord of the Rings: The Return of the King,(2003),8.9,1503781,94
751,Pirates of the Caribbean: The Curse of the Black Pearl,(2003),8.0,968245,63
752,Kill Bill: Vol. 1,(2003),8.1,910934,69
753,Finding Nemo,(2003),8.1,872887,90
754,X2,(2003),7.4,483628,68
755,The Matrix Reloaded,(2003),7.2,480999,62
756,Oldeuboi,(2003),8.4,462215,74
757,The Matrix Revolutions,(2003),6.7,417573,47
758,Big Fish,(2003),8.0,391058,58
759,Mystic River,(2003),8.0,390028,84
760,Love Actually,(2003),7.6,387268,55
761,Lost in Translation,(2003),7.8,375947,89
762,The Last Samurai,(2003),7.7,371740,55
763,Terminator 3: Rise of the Machines,(2003),6.3,351335,66
764,Bruce Almighty,(2003),6.7,347594,46
765,The Italian Job,(2003),7.0,323485,68
766,Arrested Development,(2003– ),8.8,257574,NaN
767,The School of Rock,(2003),7.1,246237,82
768,Hulk,(2003),5.6,240461,54
769,Underworld,(2003),7.0,240311,42
770,2 Fast 2 Furious,(2003),5.9,232502,38
771,Two and a Half Men,(2003–2015),7.1,227401,NaN
772,21 Grams,(2003),7.7,213372,70
773,Identity,(2003),7.3,210290,64
774,Bad Boys II,(2003),6.6,207360,38
775,Old School,(2003),7.1,204447,54
776,Daredevil,(2003),5.3,198110,42
777,Anger Management,(2003),6.3,192381,52
778,How to Lose a Guy in 10 Days,(2003),6.4,192020,45
779,Elf,(2003),7.0,192006,64
780,Master and Commander: The Far Side of the World,(2003),7.4,189970,81
781,American Wedding,(2003),6.3,183580,43
782,The League of Extraordinary Gentlemen,(2003),5.8,157997,30
783,Once Upon a Time in Mexico,(2003),6.4,145667,56
784,Final Destination 2,(2003),6.2,141045,38
785,Johnny English,(2003),6.2,137811,51
786,Cold Mountain,(2003),7.2,132596,73
787,S.W.A.T.,(2003),6.0,131807,45
788,Good Bye Lenin!,(2003),7.7,129490,68
789,Scary Movie 3,(2003),5.5,128553,49
790,Bad Santa,(2003),7.1,127440,70
791,Dogville,(2003),8.0,126996,60
792,Monster,(2003),7.3,125101,74
793,The Recruit,(2003),6.6,124418,56
794,The Texas Chainsaw Massacre,(2003),6.2,123379,38
795,Lara Croft Tomb Raider: The Cradle of Life,(2003),5.5,122459,43
796,Matchstick Men,(2003),7.3,118278,61
797,Freaky Friday,(2003),6.2,115766,70
798,Charlie's Angels: Full Throttle,(2003),4.9,113323,48
799,NCIS: Naval Criminal Investigative Service,(2003– ),7.8,108334,NaN
800,Eternal Sunshine of the Spotless Mind,(2004),8.3,829818,89
801,Kill Bill: Vol. 2,(2004),8.0,618668,83
802,The Incredibles,(2004),8.0,606568,90
803,Million Dollar Baby,(2004),8.1,588896,86
804,Spider-Man 2,(2004),7.3,503898,83
805,Harry Potter and the Prisoner of Azkaban,(2004),7.9,492922,82
806,The Notebook,(2004),7.9,477816,53
807,Shaun of the Dead,(2004),7.9,472073,76
808,"I, Robot",(2004),7.1,466386,59
809,Lost,(2004–2010),8.4,459080,NaN
810,Troy,(2004),7.2,454196,56
811,The Butterfly Effect,(2004),7.7,423138,30
812,The Bourne Supremacy,(2004),7.7,408826,73
813,Crash,(I) (2004),7.8,401709,69
814,The Day After Tomorrow,(2004),6.4,388225,47
815,Shrek 2,(2004),7.2,384553,75
816,House M.D.,(2004–2012),8.7,378937,NaN
817,The Terminal,(2004),7.3,367725,55
818,Saw,(2004),7.6,353542,46
819,Collateral,(2004),7.5,336351,71
820,Ocean's Twelve,(2004),6.5,332699,58
821,The Machinist,(2004),7.7,330752,61
822,Hotel Rwanda,(2004),8.1,314566,79
823,Anchorman: The Legend of Ron Burgundy,(2004),7.2,309727,63
824,The Aviator,(2004),7.5,309072,77
825,Man on Fire,(2004),7.7,308864,47
826,Der Untergang,(2004),8.2,307520,82
827,50 First Dates,(2004),6.8,305387,48
828,Mean Girls,(2004),7.0,303517,66
829,Hellboy,(2004),6.9,290423,72
830,National Treasure,(2004),6.9,285980,39
831,Hauru no ugoku shiro,(2004),8.2,284828,80
832,Meet the Fockers,(2004),6.3,238978,41
833,Van Helsing,(2004),6.1,230140,35
834,The Village,(2004),6.5,228564,44
835,Dawn of the Dead,(2004),7.3,221302,59
836,Dodgeball: A True Underdog Story,(2004),6.7,214847,55
837,Before Sunset,(2004),8.1,209556,90
838,The Chronicles of Riddick,(2004),6.7,204673,38
839,The Passion of the Christ,(2004),7.2,201847,47
840,Garden State,(2004),7.5,201545,67
841,Finding Neverland,(2004),7.7,191256,67
842,The Girl Next Door,(2004),6.7,191214,47
843,Closer,(I) (2004),7.3,191208,65
844,A Series of Unfortunate Events,(2004),6.8,185336,62
845,Napoleon Dynamite,(2004),6.9,185086,64
846,EuroTrip,(2004),6.6,183165,45
847,Resident Evil: Apocalypse,(2004),6.2,175971,35
848,AVP: Alien vs. Predator,(2004),5.6,174122,29
849,Harold & Kumar Go to White Castle,(2004),7.1,172623,64
850,Eternal Sunshine of the Spotless Mind,(2004),8.3,829818,89
851,Kill Bill: Vol. 2,(2004),8.0,618668,83
852,The Incredibles,(2004),8.0,606575,90
853,Million Dollar Baby,(2004),8.1,588896,86
854,Spider-Man 2,(2004),7.3,503903,83
855,Harry Potter and the Prisoner of Azkaban,(2004),7.9,492922,82
856,The Notebook,(2004),7.9,477816,53
857,Shaun of the Dead,(2004),7.9,472073,76
858,"I, Robot",(2004),7.1,466386,59
859,Lost,(2004–2010),8.4,459080,NaN
860,Troy,(2004),7.2,454196,56
861,The Butterfly Effect,(2004),7.7,423138,30
862,The Bourne Supremacy,(2004),7.7,408826,73
863,Crash,(I) (2004),7.8,401709,69
864,The Day After Tomorrow,(2004),6.4,388225,47
865,Shrek 2,(2004),7.2,384553,75
866,House M.D.,(2004–2012),8.7,378937,NaN
867,The Terminal,(2004),7.3,367725,55
868,Saw,(2004),7.6,353542,46
869,Collateral,(2004),7.5,336351,71
870,Ocean's Twelve,(2004),6.5,332699,58
871,The Machinist,(2004),7.7,330752,61
872,Hotel Rwanda,(2004),8.1,314566,79
873,Anchorman: The Legend of Ron Burgundy,(2004),7.2,309727,63
874,The Aviator,(2004),7.5,309072,77
875,Man on Fire,(2004),7.7,308864,47
876,Der Untergang,(2004),8.2,307520,82
877,50 First Dates,(2004),6.8,305387,48
878,Mean Girls,(2004),7.0,303517,66
879,Hellboy,(2004),6.9,290423,72
880,National Treasure,(2004),6.9,285980,39
881,Hauru no ugoku shiro,(2004),8.2,284828,80
882,Meet the Fockers,(2004),6.3,238978,41
883,Van Helsing,(2004),6.1,230140,35
884,The Village,(2004),6.5,228564,44
885,Dawn of the Dead,(2004),7.3,221302,59
886,Dodgeball: A True Underdog Story,(2004),6.7,214847,55
887,Before Sunset,(2004),8.1,209556,90
888,The Chronicles of Riddick,(2004),6.7,204673,38
889,The Passion of the Christ,(2004),7.2,201847,47
890,Garden State,(2004),7.5,201545,67
891,Finding Neverland,(2004),7.7,191256,67
892,The Girl Next Door,(2004),6.7,191214,47
893,Closer,(I) (2004),7.3,191208,65
894,A Series of Unfortunate Events,(2004),6.8,185336,62
895,Napoleon Dynamite,(2004),6.9,185086,64
896,EuroTrip,(2004),6.6,183165,45
897,Resident Evil: Apocalypse,(2004),6.2,175971,35
898,AVP: Alien vs. Predator,(2004),5.6,174122,29
899,Harold & Kumar Go to White Castle,(2004),7.1,172623,64
900,Eternal Sunshine of the Spotless Mind,(2004),8.3,829818,89
901,Kill Bill: Vol. 2,(2004),8.0,618668,83
902,The Incredibles,(2004),8.0,606575,90
903,Million Dollar Baby,(2004),8.1,588896,86
904,Spider-Man 2,(2004),7.3,503903,83
905,Harry Potter and the Prisoner of Azkaban,(2004),7.9,492922,82
906,The Notebook,(2004),7.9,477816,53
907,Shaun of the Dead,(2004),7.9,472073,76
908,"I, Robot",(2004),7.1,466386,59
909,Lost,(2004–2010),8.4,459080,NaN
910,Troy,(2004),7.2,454196,56
911,The Butterfly Effect,(2004),7.7,423138,30
912,The Bourne Supremacy,(2004),7.7,408827,73
913,Crash,(I) (2004),7.8,401709,69
914,The Day After Tomorrow,(2004),6.4,388225,47
915,Shrek 2,(2004),7.2,384553,75
916,House M.D.,(2004–2012),8.7,378937,NaN
917,The Terminal,(2004),7.3,367725,55
918,Saw,(2004),7.6,353542,46
919,Collateral,(2004),7.5,336351,71
920,Ocean's Twelve,(2004),6.5,332699,58
921,The Machinist,(2004),7.7,330754,61
922,Hotel Rwanda,(2004),8.1,314566,79
923,Anchorman: The Legend of Ron Burgundy,(2004),7.2,309727,63
924,The Aviator,(2004),7.5,309072,77
925,Man on Fire,(2004),7.7,308864,47
926,Der Untergang,(2004),8.2,307520,82
927,50 First Dates,(2004),6.8,305387,48
928,Mean Girls,(2004),7.0,303517,66
929,Hellboy,(2004),6.9,290423,72
930,National Treasure,(2004),6.9,285980,39
931,Hauru no ugoku shiro,(2004),8.2,284828,80
932,Meet the Fockers,(2004),6.3,238978,41
933,Van Helsing,(2004),6.1,230140,35
934,The Village,(2004),6.5,228564,44
935,Dawn of the Dead,(2004),7.3,221302,59
936,Dodgeball: A True Underdog Story,(2004),6.7,214847,55
937,Before Sunset,(2004),8.1,209556,90
938,The Chronicles of Riddick,(2004),6.7,204673,38
939,The Passion of the Christ,(2004),7.2,201847,47
940,Garden State,(2004),7.5,201545,67
941,Finding Neverland,(2004),7.7,191256,67
942,The Girl Next Door,(2004),6.7,191214,47
943,Closer,(I) (2004),7.3,191208,65
944,A Series of Unfortunate Events,(2004),6.8,185336,62
945,Napoleon Dynamite,(2004),6.9,185086,64
946,EuroTrip,(2004),6.6,183165,45
947,Resident Evil: Apocalypse,(2004),6.2,175971,35
948,AVP: Alien vs. Predator,(2004),5.6,174122,29
949,Harold & Kumar Go to White Castle,(2004),7.1,172623,64
950,Eternal Sunshine of the Spotless Mind,(2004),8.3,829818,89
951,Kill Bill: Vol. 2,(2004),8.0,618668,83
952,The Incredibles,(2004),8.0,606568,90
953,Million Dollar Baby,(2004),8.1,588896,86
954,Spider-Man 2,(2004),7.3,503903,83
955,Harry Potter and the Prisoner of Azkaban,(2004),7.9,492922,82
956,The Notebook,(2004),7.9,477816,53
957,Shaun of the Dead,(2004),7.9,472073,76
958,"I, Robot",(2004),7.1,466386,59
959,Lost,(2004–2010),8.4,459080,NaN
960,Troy,(2004),7.2,454196,56
961,The Butterfly Effect,(2004),7.7,423138,30
962,The Bourne Supremacy,(2004),7.7,408827,73
963,Crash,(I) (2004),7.8,401709,69
964,The Day After Tomorrow,(2004),6.4,388225,47
965,Shrek 2,(2004),7.2,384553,75
966,House M.D.,(2004–2012),8.7,378937,NaN
967,The Terminal,(2004),7.3,367725,55
968,Saw,(2004),7.6,353542,46
969,Collateral,(2004),7.5,336351,71
970,Ocean's Twelve,(2004),6.5,332699,58
971,The Machinist,(2004),7.7,330754,61
972,Hotel Rwanda,(2004),8.1,314566,79
973,Anchorman: The Legend of Ron Burgundy,(2004),7.2,309727,63
974,The Aviator,(2004),7.5,309072,77
975,Man on Fire,(2004),7.7,308864,47
976,Der Untergang,(2004),8.2,307520,82
977,50 First Dates,(2004),6.8,305387,48
978,Mean Girls,(2004),7.0,303517,66
979,Hellboy,(2004),6.9,290427,72
980,National Treasure,(2004),6.9,285980,39
981,Hauru no ugoku shiro,(2004),8.2,284828,80
982,Meet the Fockers,(2004),6.3,238978,41
983,Van Helsing,(2004),6.1,230140,35
984,The Village,(2004),6.5,228564,44
985,Dawn of the Dead,(2004),7.3,221302,59
986,Dodgeball: A True Underdog Story,(2004),6.7,214847,55
987,Before Sunset,(2004),8.1,209556,90
988,The Chronicles of Riddick,(2004),6.7,204673,38
989,The Passion of the Christ,(2004),7.2,201847,47
990,Garden State,(2004),7.5,201545,67
991,Finding Neverland,(2004),7.7,191256,67
992,The Girl Next Door,(2004),6.7,191214,47
993,Closer,(I) (2004),7.3,191208,65
994,A Series of Unfortunate Events,(2004),6.8,185338,62
995,Napoleon Dynamite,(2004),6.9,185086,64
996,EuroTrip,(2004),6.6,183165,45
997,Resident Evil: Apocalypse,(2004),6.2,175971,35
998,AVP: Alien vs. Predator,(2004),5.6,174122,29
999,Harold & Kumar Go to White Castle,(2004),7.1,172623,64
1000,Batman Begins,(2005),8.2,1200690,70
1001,V for Vendetta,(2005),8.2,956566,62
1002,Sin City,(2005),8.0,716576,74
1003,Star Wars: Episode III - Revenge of the Sith,(2005),7.6,643521,68
1004,How I Met Your Mother,(2005–2014),8.3,545648,NaN
1005,Harry Potter and the Goblet of Fire,(2005),7.7,492043,81
1006,Prison Break,(2005–2017),8.4,433570,NaN
1007,Mr. & Mrs. Smith,(2005),6.5,418801,55
1008,Charlie and the Chocolate Factory,(2005),6.6,391609,72
1009,War of the Worlds,(2005),6.5,389176,73
1010,King Kong,(2005),7.2,368744,81
1011,The 40 Year Old Virgin,(2005),7.1,366382,73
1012,Supernatural,(2005– ),8.5,354598,NaN
1013,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",(2005),6.9,341556,75
1014,Madagascar,(2005),6.9,334351,57
1015,Wedding Crashers,(2005),7.0,315623,64
1016,The Office,(2005–2013),8.8,303058,NaN
1017,Brokeback Mountain,(2005),7.7,300843,87
1018,Fantastic Four,(I) (2005),5.7,298092,40
1019,The Island,(2005),6.9,288742,50
1020,Constantine,(2005),7.0,280490,50
1021,Hitch,(I) (2005),6.6,278834,58
1022,Lord of War,(2005),7.6,278701,62
1023,Serenity,(2005),7.9,270996,74
1024,Kingdom of Heaven,(2005),7.2,251288,63
1025,Pride & Prejudice,(2005),7.8,231780,82
1026,Corpse Bride,(2005),7.4,224440,83
1027,Saw II,(2005),6.6,218563,40
1028,Grey's Anatomy,(2005– ),7.6,214798,NaN
1029,Walk the Line,(2005),7.9,213636,72
1030,A History of Violence,(2005),7.5,211473,81
1031,Thank You for Smoking,(2005),7.6,206280,71
1032,Kiss Kiss Bang Bang,(2005),7.6,203032,72
1033,Munich,(2005),7.6,199297,74
1034,Avatar: The Last Airbender,(2005–2008),9.2,193922,NaN
1035,Match Point,(2005),7.6,192011,72
1036,The Descent,(2005),7.2,185624,71
1037,Doctor Who,(2005– ),8.7,184828,NaN
1038,Transporter 2,(2005),6.3,180537,56
1039,The Hitchhiker's Guide to the Galaxy,(2005),6.8,177993,63
1040,It's Always Sunny in Philadelphia,(2005– ),8.7,171860,NaN
1041,Cinderella Man,(2005),8.0,166954,69
1042,Jarhead,(2005),7.0,162454,58
1043,Hostel,(2005),5.9,159472,55
1044,The Longest Yard,(2005),6.4,151110,48
1045,Hard Candy,(2005),7.1,147236,58
1046,Flightplan,(2005),6.3,144122,53
1047,Rome,(2005–2007),8.8,142033,NaN
1048,Criminal Minds,(2005– ),8.1,139263,NaN
1049,Hooligans,(2005),7.5,134070,55
1050,Batman Begins,(2005),8.2,1200690,70
1051,V for Vendetta,(2005),8.2,956566,62
1052,Sin City,(2005),8.0,716576,74
1053,Star Wars: Episode III - Revenge of the Sith,(2005),7.6,643521,68
1054,How I Met Your Mother,(2005–2014),8.3,545655,NaN
1055,Harry Potter and the Goblet of Fire,(2005),7.7,492043,81
1056,Prison Break,(2005–2017),8.4,433567,NaN
1057,Mr. & Mrs. Smith,(2005),6.5,418801,55
1058,Charlie and the Chocolate Factory,(2005),6.6,391609,72
1059,War of the Worlds,(2005),6.5,389176,73
1060,King Kong,(2005),7.2,368744,81
1061,The 40 Year Old Virgin,(2005),7.1,366382,73
1062,Supernatural,(2005– ),8.5,354598,NaN
1063,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",(2005),6.9,341556,75
1064,Madagascar,(2005),6.9,334351,57
1065,Wedding Crashers,(2005),7.0,315623,64
1066,The Office,(2005–2013),8.8,303066,NaN
1067,Brokeback Mountain,(2005),7.7,300843,87
1068,Fantastic Four,(I) (2005),5.7,298092,40
1069,The Island,(2005),6.9,288742,50
1070,Constantine,(2005),7.0,280490,50
1071,Hitch,(I) (2005),6.6,278834,58
1072,Lord of War,(2005),7.6,278701,62
1073,Serenity,(2005),7.9,270996,74
1074,Kingdom of Heaven,(2005),7.2,251288,63
1075,Pride & Prejudice,(2005),7.8,231780,82
1076,Corpse Bride,(2005),7.4,224440,83
1077,Saw II,(2005),6.6,218563,40
1078,Grey's Anatomy,(2005– ),7.6,214798,NaN
1079,Walk the Line,(2005),7.9,213636,72
1080,A History of Violence,(2005),7.5,211473,81
1081,Thank You for Smoking,(2005),7.6,206280,71
1082,Kiss Kiss Bang Bang,(2005),7.6,203032,72
1083,Munich,(2005),7.6,199297,74
1084,Avatar: The Last Airbender,(2005–2008),9.2,193922,NaN
1085,Match Point,(2005),7.6,192013,72
1086,The Descent,(2005),7.2,185624,71
1087,Doctor Who,(2005– ),8.7,184828,NaN
1088,Transporter 2,(2005),6.3,180537,56
1089,The Hitchhiker's Guide to the Galaxy,(2005),6.8,177995,63
1090,It's Always Sunny in Philadelphia,(2005– ),8.7,171860,NaN
1091,Cinderella Man,(2005),8.0,166954,69
1092,Jarhead,(2005),7.0,162454,58
1093,Hostel,(2005),5.9,159472,55
1094,The Longest Yard,(2005),6.4,151110,48
1095,Hard Candy,(2005),7.1,147236,58
1096,Flightplan,(2005),6.3,144122,53
1097,Rome,(2005–2007),8.8,142036,NaN
1098,Criminal Minds,(2005– ),8.1,139263,NaN
1099,Hooligans,(2005),7.5,134070,55
1100,Batman Begins,(2005),8.2,1200690,70
1101,V for Vendetta,(2005),8.2,956567,62
1102,Sin City,(2005),8.0,716576,74
1103,Star Wars: Episode III - Revenge of the Sith,(2005),7.6,643521,68
1104,How I Met Your Mother,(2005–2014),8.3,545655,NaN
1105,Harry Potter and the Goblet of Fire,(2005),7.7,492043,81
1106,Prison Break,(2005–2017),8.4,433567,NaN
1107,Mr. & Mrs. Smith,(2005),6.5,418801,55
1108,Charlie and the Chocolate Factory,(2005),6.6,391609,72
1109,War of the Worlds,(2005),6.5,389176,73
1110,King Kong,(2005),7.2,368750,81
1111,The 40 Year Old Virgin,(2005),7.1,366382,73
1112,Supernatural,(2005– ),8.5,354598,NaN
1113,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",(2005),6.9,341556,75
1114,Madagascar,(2005),6.9,334351,57
1115,Wedding Crashers,(2005),7.0,315623,64
1116,The Office,(2005–2013),8.8,303066,NaN
1117,Brokeback Mountain,(2005),7.7,300843,87
1118,Fantastic Four,(I) (2005),5.7,298092,40
1119,The Island,(2005),6.9,288742,50
1120,Constantine,(2005),7.0,280490,50
1121,Hitch,(I) (2005),6.6,278834,58
1122,Lord of War,(2005),7.6,278701,62
1123,Serenity,(2005),7.9,270996,74
1124,Kingdom of Heaven,(2005),7.2,251288,63
1125,Pride & Prejudice,(2005),7.8,231780,82
1126,Corpse Bride,(2005),7.4,224440,83
1127,Saw II,(2005),6.6,218563,40
1128,Grey's Anatomy,(2005– ),7.6,214798,NaN
1129,Walk the Line,(2005),7.9,213636,72
1130,A History of Violence,(2005),7.5,211473,81
1131,Thank You for Smoking,(2005),7.6,206280,71
1132,Kiss Kiss Bang Bang,(2005),7.6,203032,72
1133,Munich,(2005),7.6,199297,74
1134,Avatar: The Last Airbender,(2005–2008),9.2,193922,NaN
1135,Match Point,(2005),7.6,192013,72
1136,The Descent,(2005),7.2,185624,71
1137,Doctor Who,(2005– ),8.7,184828,NaN
1138,Transporter 2,(2005),6.3,180537,56
1139,The Hitchhiker's Guide to the Galaxy,(2005),6.8,177995,63
1140,It's Always Sunny in Philadelphia,(2005– ),8.7,171860,NaN
1141,Cinderella Man,(2005),8.0,166954,69
1142,Jarhead,(2005),7.0,162454,58
1143,Hostel,(2005),5.9,159472,55
1144,The Longest Yard,(2005),6.4,151110,48
1145,Hard Candy,(2005),7.1,147236,58
1146,Flightplan,(2005),6.3,144122,53
1147,Rome,(2005–2007),8.8,142036,NaN
1148,Criminal Minds,(2005– ),8.1,139261,NaN
